nwid,filename
NWD132168,8478359010_R08C01.gtc.txt
NWD278326,7815181175_R01C01.gtc.txt
NWD497135,8391261063_R03C01.gtc.txt
NWD456138,8490981030_R07C01.gtc.txt
NWD766086,8391270125_R07C01.gtc.txt
NWD537503,7802997083_R08C01.gtc.txt
NWD218593,7802997201_R08C01.gtc.txt
NWD583461,7778691111_R05C01.gtc.txt
NWD775389,7775626002_R07C01.gtc.txt
NWD191915,7731172135_R03C01.gtc.txt
NWD860141,8391296041_R07C01.gtc.txt
NWD972632,7778691022_R07C01.gtc.txt
NWD653012,7800254019_R04C01.gtc.txt
NWD705385,8391261161_R04C01.gtc.txt
NWD294006,8494893037_R07C01.gtc.txt
NWD632407,8478359102_R03C01.gtc.txt
NWD709061,7778712167_R01C01.gtc.txt
NWD997419,7778721071_R08C01.gtc.txt
NWD702519,8478359142_R01C01.gtc.txt
NWD836435,7778704157_R03C01.gtc.txt
NWD521197,8494893087_R05C01.gtc.txt
NWD419337,8490981026_R03C01.gtc.txt
NWD717207,7731172027_R03C01.gtc.txt
NWD307739,8391288007_R03C01.gtc.txt
NWD591995,8391253080_R03C01.gtc.txt
NWD731840,8391288099_R02C01.gtc.txt
NWD254611,7778691049_R04C01.gtc.txt
NWD365908,7800254033_R05C01.gtc.txt
NWD317133,8391296008_R06C01.gtc.txt
NWD327072,8391261164_R06C01.gtc.txt
NWD542615,8490981027_R01C01.gtc.txt
NWD764987,7778691021_R03C01.gtc.txt
NWD419818,8391296042_R01C01.gtc.txt
NWD258896,8391261046_R06C01.gtc.txt
NWD103142,8490981107_R03C01.gtc.txt
NWD586166,8478359084_R01C01.gtc.txt
NWD760857,8494893036_R06C01.gtc.txt
NWD824775,8478359113_R01C01.gtc.txt
NWD347752,7802997001_R03C01.gtc.txt
NWD656694,7822752001_R07C01.gtc.txt
NWD250538,7822728006_R08C01.gtc.txt
NWD179137,8391270158_R07C01.gtc.txt
NWD290295,7731172100_R08C01.gtc.txt
NWD890506,8391270104_R04C01.gtc.txt
NWD519064,8478359003_R03C01.gtc.txt
NWD769406,8391270041_R07C01.gtc.txt
NWD504797,8478359144_R01C01.gtc.txt
NWD124173,7823704001_R02C01.gtc.txt
NWD495076,7778691135_R05C01.gtc.txt
NWD303487,7778691050_R04C01.gtc.txt
NWD795714,8478359183_R03C01.gtc.txt
NWD344006,8391296129_R05C01.gtc.txt
NWD589785,8478359035_R05C01.gtc.txt
NWD541127,8391296097_R05C01.gtc.txt
NWD138312,7800254119_R04C01.gtc.txt
NWD405509,8478359030_R06C01.gtc.txt
NWD246204,8490981082_R07C01.gtc.txt
NWD540135,7778691023_R08C01.gtc.txt
NWD108381,8391296045_R03C01.gtc.txt
NWD582190,8478359059_R08C01.gtc.txt
NWD886392,7822752003_R01C01.gtc.txt
NWD415301,8391288151_R07C01.gtc.txt
NWD998017,8490981051_R02C01.gtc.txt
NWD383291,7731172135_R06C01.gtc.txt
NWD408076,8391261022_R05C01.gtc.txt
NWD738080,8391288111_R05C01.gtc.txt
NWD222947,8391261150_R07C01.gtc.txt
NWD631301,7822752004_R07C01.gtc.txt
NWD802707,7778704082_R08C01.gtc.txt
NWD120690,8391261106_R01C01.gtc.txt
NWD257173,8478359101_R02C01.gtc.txt
NWD912851,8391253140_R01C01.gtc.txt
NWD654900,7778721005_R07C01.gtc.txt
NWD104724,7802989016_R01C01.gtc.txt
NWD914306,7731172083_R06C01.gtc.txt
NWD767386,8478359167_R03C01.gtc.txt
NWD876647,8490981099_R07C01.gtc.txt
NWD245603,8494893042_R01C01.gtc.txt
NWD361063,8494893063_R05C01.gtc.txt
NWD192640,7778691081_R05C01.gtc.txt
NWD968009,7757321164_R08C01.gtc.txt
NWD409287,7778691055_R01C01.gtc.txt
NWD584192,8391270062_R08C01.gtc.txt
NWD388958,8391288053_R06C01.gtc.txt
NWD901447,8391296016_R03C01.gtc.txt
NWD558346,8490981118_R03C01.gtc.txt
NWD347884,8478359121_R08C01.gtc.txt
NWD514742,8391270021_R03C01.gtc.txt
NWD267184,8478359202_R04C01.gtc.txt
NWD546802,8391270137_R05C01.gtc.txt
NWD916562,8478359005_R08C01.gtc.txt
NWD892099,7778691138_R01C01.gtc.txt
NWD937205,8391270150_R07C01.gtc.txt
NWD817596,8490981009_R02C01.gtc.txt
NWD225666,8391270095_R03C01.gtc.txt
NWD932954,8391296085_R07C01.gtc.txt
NWD774590,8490981125_R07C01.gtc.txt
NWD203714,7778691095_R04C01.gtc.txt
NWD113441,8478359071_R04C01.gtc.txt
NWD888855,7731172024_R07C01.gtc.txt
NWD867373,7778704041_R08C01.gtc.txt
NWD939453,7778712074_R04C01.gtc.txt
NWD897091,7731172082_R02C01.gtc.txt
NWD694215,8478359102_R08C01.gtc.txt
NWD661866,8391288082_R01C01.gtc.txt
NWD366246,7731172125_R04C01.gtc.txt
NWD223102,7822752004_R08C01.gtc.txt
NWD385005,7778691071_R07C01.gtc.txt
NWD905971,7778704077_R04C01.gtc.txt
NWD740508,8391296005_R02C01.gtc.txt
NWD622060,7802997115_R06C01.gtc.txt
NWD595487,8391296068_R02C01.gtc.txt
NWD737059,7778704036_R06C01.gtc.txt
NWD338198,7800254107_R05C01.gtc.txt
NWD308278,8478359035_R03C01.gtc.txt
NWD195609,7823704001_R04C01.gtc.txt
NWD904921,7778721021_R08C01.gtc.txt
NWD584724,8391296022_R06C01.gtc.txt
NWD556784,8478359027_R07C01.gtc.txt
NWD828863,8495087170_R02C01.gtc.txt
NWD973900,8391309023_R05C01.gtc.txt
NWD866022,8495044064_R03C01.gtc.txt
NWD174138,7800254107_R02C01.gtc.txt
NWD817537,7802989082_R02C01.gtc.txt
NWD106453,8391296063_R05C01.gtc.txt
NWD161082,7802989026_R03C01.gtc.txt
NWD697700,8391296164_R02C01.gtc.txt
NWD467408,7778691001_R03C01.gtc.txt
NWD556766,7731172074_R08C01.gtc.txt
NWD919252,7802989094_R03C01.gtc.txt
NWD742496,7778721009_R08C01.gtc.txt
NWD963928,8391270016_R06C01.gtc.txt
NWD232357,8391296144_R07C01.gtc.txt
NWD827720,8478359062_R02C01.gtc.txt
NWD127795,7731172191_R02C01.gtc.txt
NWD722269,7802989037_R04C01.gtc.txt
NWD168171,8391261096_R06C01.gtc.txt
NWD423134,8490981096_R06C01.gtc.txt
NWD368840,8391296129_R01C01.gtc.txt
NWD303416,8391296058_R04C01.gtc.txt
NWD344656,7802989091_R03C01.gtc.txt
NWD816723,7778704093_R03C01.gtc.txt
NWD909513,8478359058_R02C01.gtc.txt
NWD546317,7778691041_R05C01.gtc.txt
NWD593658,8391288163_R04C01.gtc.txt
NWD825313,7731172010_R05C01.gtc.txt
NWD918730,7800254025_R01C01.gtc.txt
NWD691958,8391270094_R06C01.gtc.txt
NWD850953,7778691034_R01C01.gtc.txt
